deal_id,deal_title,deal_url,deal_rating,deal_rating_count,deal_mrp_price,deal_act_price,deal_offer_percent,deal_offer_price,top_offers,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_all,product_description,top_customer_reviews,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
151,"IRUSU VR 3D Glasses Headset For mobiles - Monster VR  (Smart Glasses, Black)",https://www.flipkart.com/irusu-vr-3d-glasses-headset-mobiles-monster/p/itm4b384b67541c0?pid=SGAGJFRJBMPKBN7Z&lid=LSTSGAGJFRJBMPKBN7ZVVZZAV&marketplace=FLIPKART&q=smart+wearable&store=ajy&srno=s_1_22&otracker=search&fm=organic&iid=en_D2DtLCNkbnQLoHc6C-jDEXXhaTdcmzzWjexbT0H3turo8Fwn94efBE30hpGdFFbn1D2Tx955CkLyIJrWM9pnyg%3D%3D&ppt=browse&ppn=browse&ssid=g7xt82rkyo0000001716057217969&qH=bd2d8225f0c52a6b,3.2,173,3599,1999,44,1600,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Partner Offer', 'description': 'Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹20,000*'}]",Wearable Smart Devices,Smart Glasses,IRUSU Smart Glasses,,,,,"['Home', 'Wearable Smart Devices', 'Smart Glasses', 'IRUSU Smart Glasses']",Monster VR 3D GlassesAdjustable Lens And Pupil Distance FocusMultiple Connectivity DesignBuilt-In ControllerAdjustable Straps,"[{'rating': '1', 'comment_text': I can't even use this for 2 minutes it's so irritating and the quality of the lens is very bad video is too blurry"," don't order this product there is no refund don't waste your money.READ MORE""}", {'rating': '1', 'comment_text': 'Very bad product....not fitting in mobile ...no visual...no refund.. very disappointingREAD MORE'}, {'rating': '3', 'comment_text': 'Nice oneREAD MORE'}, {'rating': '5'," 'comment_text': ""I tried a lot of vr headsets", but this one is exceptional because of its lens, and it's also very durable. It's worth every penny.Overall," I am happy with the productREAD MORE""}", {'rating': '5', 'comment_text': 'Best product for movieREAD MORE'}, {'rating': '5', 'comment_text': 'The product is well packaged. After a lot of research I bought this vr headset and am satisfied with this product. My suggestion for those who purchase this product is to watch high quality content and there are many apps available on playstore which gives the best vr experience.My whole family has tried this vr headset and they are amazed by the 1st vr experience. Must try VR.READ MORE'}, {'rating': '1', 'comment_text': 'Not working productsREAD MORE'}, {'rating': '5'," 'comment_text': ""I recently purchased the Irusu VR Headset from Flipkart", and I must say, it has exceeded my expectations. As an avid virtual reality enthusiast, I've had the opportunity to try out various VR headsets," and the Irusu VR Headset stands out for its immersive experience and comfortable design.READ MORE""}", {'rating': '1', 'comment_text': 'I dont like itREAD MORE'}, {'rating': '4'," 'comment_text': 'GoodREAD MORE'}]""",,,,,,,,,
161,"IRUSU Play VR 3D VR Glasses For mobiles For Entertainment  (Smart Glasses, Black)",https://www.flipkart.com/irusu-play-vr-3d-glasses-mobiles-entertainment/p/itm3ae9b142400bf?pid=SGAGJA9UKJZF5FSA&lid=LSTSGAGJA9UKJZF5FSAAEAZD7&marketplace=FLIPKART&q=smart+wearable&store=ajy&srno=s_1_31&otracker=search&fm=organic&iid=en_D2DtLCNkbnQLoHc6C-jDEXXhaTdcmzzWjexbT0H3tur3jrep3rr0Tjq2TVxe1dh_A3CUaKTh-vvP389nnMOZlA%3D%3D&ppt=browse&ppn=browse&ssid=g7xt82rkyo0000001716057217969&qH=bd2d8225f0c52a6b,3.1,178,3999,2499,37,1500,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 3% off (price inclusive of cashback/coupon)'}]",Wearable Smart Devices,Smart Glasses,IRUSU Smart Glasses,,,,,"['Home', 'Wearable Smart Devices', 'Smart Glasses', 'IRUSU Smart Glasses']",3 Dimensional Entertainment SpectaclesMultiple Compatibility Smart GlassesSmart Controlling FeaturesAdjustable Lens And FocusIntegrated Headphones Jack,"[{'rating': '2', 'comment_text': 'Quality is not so goodREAD MORE'}, {'rating': '1', 'comment_text': 'West of your money this not work undated mobile and bad quality varest product they have no return uption also only exchange 🤔🤦🤦🤦 my money 😔😔😔READ MORE'}, {'rating': '2', 'comment_text': 'Waste of MoneyREAD MORE'}, {'rating': '2', 'comment_text': 'Over priceREAD MORE'}, {'rating': '2', 'comment_text': 'Very bad quality......READ MORE'}, {'rating': '1', 'comment_text': 'Very very very worstREAD MORE'}, {'rating': '3', 'comment_text': 'Product so weekREAD MORE'}, {'rating': '1', 'comment_text': 'Worst productREAD MORE'}, {'rating': '1', 'comment_text': 'WasteREAD MORE'}, {'rating': '5', 'comment_text': 'Very good vr headset in budget. It fits my mobile perfectly. Had an amazing vr experienceWatching High quality videos is very important to get the best vr experience... Nice ProductREAD MORE'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,"IRUSU Play VR Plus VR Box With Remote For Mobiles.  (Smart Glasses, Black)",https://www.flipkart.com/irusu-play-vr-plus-box-remote-mobiles/p/itm112e4d22f8243?pid=SGAGHGJRYZ5Y7HGY&lid=LSTSGAGHGJRYZ5Y7HGY09C88N&marketplace=FLIPKART&q=smart+wearable&store=ajy&srno=s_1_18&otracker=search&fm=organic&iid=en_D2DtLCNkbnQLoHc6C-jDEXXhaTdcmzzWjexbT0H3tuoiNH_Wqip-y4KqnfQTArTuiYYFzoCDMO0BDf-X4s3w5Q%3D%3D&ppt=browse&ppn=browse&ssid=g7xt82rkyo0000001716057217969&qH=bd2d8225f0c52a6b,3,128,3999,2999,25,1000,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Partner Offer', 'description': 'Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹20,000*'}]",Wearable Smart Devices,Smart Glasses,IRUSU Smart Glasses,,,,,"['Home', 'Wearable Smart Devices', 'Smart Glasses', 'IRUSU Smart Glasses']",Smart Glasses With Multiple ConnectivityConvenient In-Built Controller ButtonSmart Control FeaturesHeat Dissipating DesignRemote Controller Provided,"[{'rating': '4', 'comment_text': 'Quality okREAD MORE'}, {'rating': '1', 'comment_text': Worst product Don't purchase Worst brand No returns and service center no call attend worst Don't by this productREAD MORE""}", {'rating': '5', 'comment_text': 'nice product🙂READ MORE'}, {'rating': '1', 'comment_text': 'Lance problem and voice no available..READ MORE'}, {'rating': '1', 'comment_text': 'Remote not working. And quality is really badREAD MORE'}, {'rating': '1', 'comment_text': 'Very badREAD MORE'}, {'rating': '3', 'comment_text': 'Product is goodREAD MORE'}, {'rating': '5', 'comment_text': 'One of the best productREAD MORE'}, {'rating': '4', 'comment_text': 'Good product 😊READ MORE'}, {'rating': '4'," 'comment_text': 'Nice product worth u can buyREAD MORE'}]""",,,,,,,,,,,,,,,,,,,
200,"IRUSU 3D Monster VR Box Glasses With Remote For Mobiles  (Smart Glasses, Black)",https://www.flipkart.com/irusu-3d-monster-vr-box-glasses-remote-mobiles/p/itm5dfb1fef7bd3c?pid=SGAGJGFGRHWQZDFQ&lid=LSTSGAGJGFGRHWQZDFQUWF9ZR&marketplace=FLIPKART&q=smart+wearable&store=ajy&srno=s_1_21&otracker=search&fm=organic&iid=en_D2DtLCNkbnQLoHc6C-jDEXXhaTdcmzzWjexbT0H3tuq9pUteGal-QBHdkqfs3VquwswD8gUmGHJrHNL-IwI0AQ%3D%3D&ppt=browse&ppn=browse&ssid=g7xt82rkyo0000001716057217969&qH=bd2d8225f0c52a6b,3,414,3599,2299,36,1300,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Partner Offer', 'description': 'Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹20,000*'}]",Wearable Smart Devices,Smart Glasses,IRUSU Smart Glasses,,,,,"['Home', 'Wearable Smart Devices', 'Smart Glasses', 'IRUSU Smart Glasses']",Comfortable and Convenient DesignInbuilt Touch ButtonHigh-quality OpticsAdjustable LensRemote Control IncludedHigh Compatibility,"[{'rating': '5', 'comment_text': 'Very Good Product and easy to useREAD MORE'}, {'rating': '5', 'comment_text': 'SuperbREAD MORE'}, {'rating': '4', 'comment_text': 'Good productsREAD MORE'}, {'rating': '4', 'comment_text': Awesome IRUSU 3D MONSTER VR BOX .. NICE 4K Experience 💙💙🤩 Night I'm view theatre experience I'm satisfied 😘😊READ MORE""}", {'rating': '5', 'comment_text': 'The product has a Sleek and Convenient Design with Immersive 360-degree experience.It is also User friendly when it comes to setting up of glasses , adjusting the straps which ensure a comfortable fit.READ MORE'}, {'rating': '5', 'comment_text': 'Good productREAD MORE'}, {'rating': '4', 'comment_text': 'Nice productREAD MORE'}, {'rating': '1'," 'comment_text': ""Cheap quality don't buy and they don't return itREAD MORE""}", {'rating': '5', 'comment_text': 'Product is amazing nice quality loving itREAD MORE'}, {'rating': '1'," 'comment_text': ""Lens quality very very cheap pls don't buy this product totally money wasteREAD MORE""}]""",,,,,,,,,,,,,,,,,,,,,,
246,"ZINGYOU PlayGlass Virtual Reality Helmet Glasses 3D Video Headset  (Smart Glasses, GOLDEN, BLACK)",https://www.flipkart.com/zingyou-playglass-virtual-reality-helmet-glasses-3d-video-headset/p/itmca6a843401c5c?pid=SGAGJ2RGUFPPN4F3&lid=LSTSGAGJ2RGUFPPN4F3JPBN6N&marketplace=FLIPKART&q=smart+wearable&store=ajy%2Ftcy&srno=s_1_32&otracker=search&iid=47610c81-396b-46d7-b860-0616a141103d.SGAGJ2RGUFPPN4F3.SEARCH&ssid=k01m9xqw0g0000001716140958827&qH=bd2d8225f0c52a6b,1.3,6,4999,1614,67,3385,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 5% off (price inclusive of cashback/coupon)'}]",Wearable Smart Devices,Smart Glasses,ZINGYOU Smart Glasses,,,,,"['Home', 'Wearable Smart Devices', 'Smart Glasses', 'ZINGYOU Smart Glasses']",,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,"deego VR Box 2571  (Smart Glasses, White)",https://www.flipkart.com/deego-vr-box-2571/p/itmeqamv3scqthsc?pid=SGAEQAMVEQQRHNGD&lid=LSTSGAEQAMVEQQRHNGDUYXHOC&marketplace=FLIPKART&q=smart+wearable&store=ajy%2Ftcy&spotlightTagId=BestsellerId_ajy%2Ftcy&srno=s_1_4&otracker=search&fm=organic&iid=47610c81-396b-46d7-b860-0616a141103d.SGAEQAMVEQQRHNGD.SEARCH&ppt=sp&ppn=sp&ssid=k01m9xqw0g0000001716140958827&qH=bd2d8225f0c52a6b,2.9,529,1500,695,53,805,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Partner Offer', 'description': 'Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹20,000*'}]",Wearable Smart Devices,Smart Glasses,deego Smart Glasses,,,,,"['Home', 'Wearable Smart Devices', 'Smart Glasses', 'deego Smart Glasses']",,"[{'rating': '3', 'comment_text': 'Lance qality is vary badREAD MORE'}, {'rating': '2', 'comment_text': It's already an used product not up to the mark. Very disappointing by Flipkart service.😒😒READ MORE""}", {'rating': '2', 'comment_text': 'PoorREAD MORE'}, {'rating': '3', 'comment_text': 'Lens quality is not so good but 499 is good for this vr i like this products and listen any one have headache problem so dont buy because after wear few minutes headache start if you use only 10 or 20 minutes no eyes problemREAD MORE'}, {'rating': '1'," 'comment_text': ""Friends don't buy this product"," 100percent waste of moneyREAD MORE""}", {'rating': '1', 'comment_text': 'RUBBISH PRODUCT MY EYES WAS FULLY DAMAGE 😫READ MORE'}, {'rating': '1', 'comment_text': 'WasteREAD MORE'}, {'rating': '1'," 'comment_text': ""3rd class product don't buy it wastage of moneyREAD MORE""}", {'rating': '1', 'comment_text': 'It came by some damages..Am not getting the vr experience on it..Plss guyss dont buy itREAD MORE'}, {'rating': '3'," 'comment_text': 'lens setting is not up to the marlREAD MORE'}]""",,,,,,,,,,,,,,,,,,
250,"HRL Sunglasses Goggles Smart Sunglasses Sports Sunglasses Bluetooth Headset  (Smart Glass Attach, Multicolor)",https://www.flipkart.com/hrl-sunglasses-goggles-smart-sports-bluetooth-headset/p/itmbdc3150adcd49?pid=SGAFWSCCUNV7S6ZG&lid=LSTSGAFWSCCUNV7S6ZGL8FQAK&marketplace=FLIPKART&q=smart+wearable&store=ajy%2Ftcy&srno=s_1_19&otracker=search&iid=47610c81-396b-46d7-b860-0616a141103d.SGAFWSCCUNV7S6ZG.SEARCH&ssid=k01m9xqw0g0000001716140958827&qH=bd2d8225f0c52a6b,3.9,154,1999,620,68,1379,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 11% off (price inclusive of cashback/coupon)'}]",Wearable Smart Devices,Smart Glasses,HRL Smart Glasses,,,,,"['Home', 'Wearable Smart Devices', 'Smart Glasses', 'HRL Smart Glasses']",,"[{'rating': '1', 'comment_text': 'Very defective product i got it first defective and i exchanged it and get anthor defective now i just return it for refundMy suggestion do not buyREAD MORE'}, {'rating': '3', 'comment_text': 'GoodREAD MORE'}, {'rating': '3', 'comment_text': 'This is not compatibleREAD MORE'}, {'rating': '5', 'comment_text': 'Very goodREAD MORE'}, {'rating': '4', 'comment_text': 'Not okREAD MORE'}, {'rating': '3', 'comment_text': 'Super galassREAD MORE'}, {'rating': '5', 'comment_text': 'Nice productREAD MORE'}, {'rating': '4', 'comment_text': 'GoodREAD MORE'}, {'rating': '3', 'comment_text': 'GoodREAD MORE'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,"MA-NYA mobile Screen Expanders & Screen Magnifier clear fresnel screen for Smartphones  (Smart Glasses, black)",https://www.flipkart.com/ma-nya-mobile-screen-expanders-magnifier-clear-fresnel-smartphones/p/itm14f779d45145c?pid=SGAGK5FJHSCHZCQG&lid=LSTSGAGK5FJHSCHZCQGVOQRRV&marketplace=FLIPKART&q=smart+wearable&store=ajy%2Ftcy&srno=s_1_8&otracker=search&iid=47610c81-396b-46d7-b860-0616a141103d.SGAGK5FJHSCHZCQG.SEARCH&ssid=k01m9xqw0g0000001716140958827&qH=bd2d8225f0c52a6b,3.4,493,699,279,60,420,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 11% off (price inclusive of cashback/coupon)'}]",Wearable Smart Devices,Smart Glasses,MA-NYA Smart Glasses,,,,,"['Home', 'Wearable Smart Devices', 'Smart Glasses', 'MA-NYA Smart Glasses']",,"[{'rating': '1', 'comment_text': 'Useless productREAD MORE'}, {'rating': '5', 'comment_text': 'Just betterREAD MORE'}, {'rating': '2', 'comment_text': 'Waste of moneyREAD MORE'}, {'rating': '5', 'comment_text': 'Very good productREAD MORE'}, {'rating': '3', 'comment_text': 'Weaste of money and time, use less product.READ MORE'}, {'rating': '1', 'comment_text': 'Very very very bad quality productREAD MORE'}, {'rating': '1', 'comment_text': 'This product is worthlessREAD MORE'}, {'rating': '5', 'comment_text': It's good in work clearity is also very good it's good product i suggest you can purchaseREAD MORE""}", {'rating': '5', 'comment_text': 'Very good productREAD MORE'}, {'rating': '5'," 'comment_text': 'This product very nice I will order one more the this product this is protect to eyeREAD MORE'}]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,"Tunifi F06 Wireless Bluetooth Sunglass Fashion Anti Blue Light Smart Glass Dual Speaker  (Smart Glasses, Black)",https://www.flipkart.com/tunifi-f06-wireless-bluetooth-sunglass-fashion-anti-blue-light-smart-glass-dual-speaker/p/itmf1bf107c13a3d?pid=SGAGNB227BKDYGZR&lid=LSTSGAGNB227BKDYGZRQHI9RF&marketplace=FLIPKART&q=smart+wearable&store=ajy%2Ftcy&srno=s_1_33&otracker=search&iid=47610c81-396b-46d7-b860-0616a141103d.SGAGNB227BKDYGZR.SEARCH&ssid=k01m9xqw0g0000001716140958827&qH=bd2d8225f0c52a6b,3.4,116,9999,1310,86,8689,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 34% off (price inclusive of cashback/coupon)'}]",Wearable Smart Devices,Smart Glasses,Tunifi Smart Glasses,,,,,"['Home', 'Wearable Smart Devices', 'Smart Glasses', 'Tunifi Smart Glasses']",,"[{'rating': '5', 'comment_text': 'Very good qualityREAD MORE'}, {'rating': '5', 'comment_text': 'First use review, it feels goodREAD MORE'}, {'rating': '1', 'comment_text': 'Battery backup is very poorREAD MORE'}, {'rating': '4', 'comment_text': 'Good productREAD MORE'}, {'rating': '3', 'comment_text': 'I liked this is product is very beautifulREAD MORE'}, {'rating': '5', 'comment_text': At a price of 1200 this is worth. Shade is dark can't see in dark. Day time it is perfect and battery backup is about 2 hr. Speaker quality is okayREAD MORE""}", {'rating': '5', 'comment_text': '5 starREAD MORE'}, {'rating': '2', 'comment_text': 'Sonud quality is not good Volume is too slowREAD MORE'}, {'rating': '1', 'comment_text': 'Not a good product quality wise,poor productREAD MORE'}, {'rating': '5', 'comment_text': 'Free for ears, no plug in. Casual wear," Wonderful productREAD MORE'}]""",,,,,,,,,,,,,,,,,,,,,,,,
255,"Kundra uper Quality Stereo Wireless Electronics Bluetooth Outdoor Activities Bluetooth Wireless Smart Sunglasses With Hands-Free Calling Function Wireless Sports Sunglasses Bluetooth Earphone Deep Bass Lightweight Bluetooth Headset Sunglasses Headphone Wireless Bluetooth Headphones With Good Touch Function (Smart Glasses, Black)  (Smart Glasses, black)",https://www.flipkart.com/kundra-uper-quality-stereo-wireless-electronics-bluetooth-outdoor-activities-smart-sunglasses-hands-free-calling-function-sports-earphone-deep-bass-lightweight-headset-headphone-headphones-good-touch-smart-glasses-black/p/itm223fdc6731ef6?pid=SGAG3XC4E6DCCPKS&lid=LSTSGAG3XC4E6DCCPKSSLDOVP&marketplace=FLIPKART&q=smart+wearable&store=ajy%2Ftcy&spotlightTagId=BestsellerId_ajy%2Ftcy&srno=s_1_40&otracker=search&fm=organic&iid=47610c81-396b-46d7-b860-0616a141103d.SGAG3XC4E6DCCPKS.SEARCH&ppt=sp&ppn=sp&ssid=k01m9xqw0g0000001716140958827&qH=bd2d8225f0c52a6b,3.7,556,1499,560,62,939,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 5% off (price inclusive of cashback/coupon)'}]",Wearable Smart Devices,Smart Glasses,Kundra Smart Glasses,,,,,"['Home', 'Wearable Smart Devices', 'Smart Glasses', 'Kundra Smart Glasses']",Wireless Bluetooth ConnectivityDifferent FunctionsFoldable LensEasy Connectivity,"[{'rating': '5', 'comment_text': 'Amazing productREAD MORE'}, {'rating': '1', 'comment_text': 'Bad products....READ MORE'}, {'rating': '5', 'comment_text': 'Very niceREAD MORE'}, {'rating': '1', 'comment_text': 'This product is very bed qualityREAD MORE'}, {'rating': '1', 'comment_text': 'Not that niceREAD MORE'}, {'rating': '5', 'comment_text': 'SuperREAD MORE'}, {'rating': '1', 'comment_text': 'Low qualityREAD MORE'}, {'rating': '5', 'comment_text': 'NiceREAD MORE'}, {'rating': '1', 'comment_text': 'Fitting is not good....READ MORE'}, {'rating': '4', 'comment_text': 'GoodREAD MORE'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,"Cyphon CARDBOARD VR  (Smart Glasses, WHITE)",https://www.flipkart.com/cyphon-cardboard-vr/p/itme4cb3dfe7fb71?pid=SGAGV2PJJYJVDFDW&lid=LSTSGAGV2PJJYJVDFDWEIJDBK&marketplace=FLIPKART&q=smart+wearable&store=ajy%2Ftcy&srno=s_1_23&otracker=search&iid=47610c81-396b-46d7-b860-0616a141103d.SGAGV2PJJYJVDFDW.SEARCH&ssid=k01m9xqw0g0000001716140958827&qH=bd2d8225f0c52a6b,2.5,4,499,244,51,255,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Partner Offer', 'description': 'Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹20,000*'}]",Wearable Smart Devices,Smart Glasses,Cyphon Smart Glasses,,,,,"['Home', 'Wearable Smart Devices', 'Smart Glasses', 'Cyphon Smart Glasses']",,"[{'rating': '1', 'comment_text': 'Cash wasteREAD MORE'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,"RUVRBOX 3D VR BOX VIRTUAL REALITY GLASSES  (Smart Glasses, WHITE)",https://www.flipkart.com/ruvrbox-3d-vr-box-virtual-reality-glasses/p/itm8f31e6bdffadc?pid=SGAGW4PYTKUNQBMP&lid=LSTSGAGW4PYTKUNQBMPBXJ9DD&marketplace=FLIPKART&q=smart+wearable&store=ajy%2Ftcy&srno=s_1_16&otracker=search&iid=47610c81-396b-46d7-b860-0616a141103d.SGAGW4PYTKUNQBMP.SEARCH&ssid=k01m9xqw0g0000001716140958827&qH=bd2d8225f0c52a6b,3.3,3,1999,749,62,1250,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 29% off (price inclusive of cashback/coupon)'}]",Wearable Smart Devices,Smart Glasses,RUVRBOX Smart Glasses,,,,,"['Home', 'Wearable Smart Devices', 'Smart Glasses', 'RUVRBOX Smart Glasses']",,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,"FIZONT MART Lazy Reader Glasses For Book Reading Periscope Tv Watching Glasses-1PCS  (Smart Glasses, Black)",https://www.flipkart.com/fizont-mart-lazy-reader-glasses-book-reading-periscope-tv-watching-glasses-1pcs/p/itmcbdc51edd4656?pid=SGAGTGH7YF86FXRQ&lid=LSTSGAGTGH7YF86FXRQFFVC4T&marketplace=FLIPKART&q=smart+wearable&store=ajy%2Ftcy&srno=s_1_34&otracker=search&iid=47610c81-396b-46d7-b860-0616a141103d.SGAGTGH7YF86FXRQ.SEARCH&ssid=k01m9xqw0g0000001716140958827&qH=bd2d8225f0c52a6b,2.3,4,999,598,40,401,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Partner Offer', 'description': 'Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹20,000*'}]",Wearable Smart Devices,Smart Glasses,FIZONT MART Smart Glasses,,,,,"['Home', 'Wearable Smart Devices', 'Smart Glasses', 'FIZONT MART Smart Glasses']",,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,"IBS IMPORTED Polarized Lenses Microphone ,Bluetooth Music,Hands Free Calls  (Camera Glass, CHARCOAL BLACK)",https://www.flipkart.com/ibs-imported-polarized-lenses-microphone-bluetooth-music-hands-free-calls/p/itme79818afc7e76?pid=SGAGHFUPZCEUHJGZ&lid=LSTSGAGHFUPZCEUHJGZXCD2HY&marketplace=FLIPKART&q=smart+wearable&store=ajy%2Ftcy&srno=s_1_35&otracker=search&iid=47610c81-396b-46d7-b860-0616a141103d.SGAGHFUPZCEUHJGZ.SEARCH&ssid=k01m9xqw0g0000001716140958827&qH=bd2d8225f0c52a6b,3,4,7999,2499,68,5500,"[{'type': 'Bank Offer', 'description': 'Get ₹50 instant discount on first Flipkart UPI txn on order of ₹200 and above'}, {'type': 'Bank Offer', 'description': '5% Cashback on Flipkart Axis Bank Card'}, {'type': 'Bank Offer', 'description': '6% off up to ₹2000 on HDFC Bank Credit Card EMI Txns, Tenure: 6month and above, Min Txn Value: ₹7500'}, {'type': 'Special Price', 'description': 'Get extra 12% off (price inclusive of cashback/coupon)'}]",Wearable Smart Devices,Smart Glasses,IBS Smart Glasses,,,,,"['Home', 'Wearable Smart Devices', 'Smart Glasses', 'IBS Smart Glasses']",,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
